"menu_pk","menu_uppk","menu_status","menu_p_type","menu_p_use","menu_level","menu_soft","menu_name","menu_title","menu_remark1","menu_page","menu_remark2","menu_url_path","menu_url_file","menu_url_para","menu_flag","menu_count"
"32","28","1","u","40","3","50","4.入境後辦件流程及時間設定","4.入境後辦件流程及時間設定","","","","","index.php","[_quest_]pro=c_a_4","","219"
"33","28","1","u","47","3","50","5.評估醫院設定","5.評估醫院設定","","","","","index.php","[_quest_]pro=c_a_5","","10"
"34","28","1","u","177","3","50","6.遞補入境前辦件流程及時間設定","6.遞補入境前辦件流程及時間設定","","","","","index.php","[_quest_]pro=c_a_6","","14"
"35","27","1","x","0","2","50","---","A.資料設定 ---","","","","","","","","0"
"36","27","1","x","0","2","50","B.招募流程入境前管制作業","B.招募流程入境前管制作業","","","","","#","","","0"
"37","36","1","u","51","3","50","1.客戶簽約辦件流程控制登錄","1.客戶簽約辦件流程控制登錄","","","","","index.php","[_quest_]pro=c_b_1","","27890"
"38","27","1","x","0","2","50","C.遞補案件入境前管制作業","C.遞補案件入境前管制作業","","","","","#","","","0"
"39","38","1","u","55","3","50","1.遞補外勞入境前辦件流程控制登錄","1.遞補外勞入境前辦件流程控制登錄","","","","","index.php","[_quest_]pro=c_c_1","","2201"
"40","27","1","u","59","2","50","D.外勞入境後辦件流程控制登錄","D.外勞入境後辦件流程控制登錄","","","","","index.php","[_quest_]pro=c_d","","46944"
"41","27","1","x","0","2","50","---","G.審查費用管理 ---","","","","","","","","0"
"42","27","1","x","0","2","50","M.管制報表","M.管制報表","","","","","#","","","0"
"43","42","1","r","151","3","50","03.簽約流程管制表","03.簽約流程管制表","","report_page","","../report_foms/report/sfoms/","c_m_3.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","250"
"44","42","1","r","1","3","50","04.已入境案件逾期未辦理一覽表","04.已入境案件逾期未辦理一覽表","","report_page","","http://[_hostIP_]:8080/birt/[_reportPath_]/","c_m_4.jsp","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_]","","421"
"45","27","1","x","0","2","50","P.近期作業一覽表","P.近期作業一覽表","","","","","#","","","0"
"46","45","1","r","148","3","50","01.近期應體檢一覽表","01.近期應體檢一覽表","","report_page","","../report_foms/report/sfoms/","c_p_1.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","3670"
"47","45","1","r","2","3","50","04.近期已離境(解約)外勞一覽表","04.近期已離境(解約)外勞一覽表","","report_page","","http://[_hostIP_]:8080/birt/[_reportPath_]/","c_p_4.jsp","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_]","","2112"
"48","45","1","r","3","3","50","06.近期應辦理外勞聘僱許可一覽表","06.近期應辦理外勞聘僱許可一覽表","","report_page","","http://[_hostIP_]:8080/birt/[_reportPath_]/","c_p_6.jsp","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_]","","406"
"49","45","1","r","4","3","50","08.近期護照加簽一覽表","08.近期護照加簽一覽表","","report_page","","http://[_hostIP_]:8080/birt/[_reportPath_]/","c_p_8.jsp","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_]","","976"
"50","45","1","r","5","3","50","09.近期應申請VISA一覽表","09.近期應申請VISA一覽表","","report_page","","http://[_hostIP_]:8080/birt/[_reportPath_]/","c_p_9.jsp","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_]","","235"
"51","45","1","r","6","3","50","10.近期應申請遞補函一覽表","10.近期應申請遞補函一覽表","","report_page","","http://[_hostIP_]:8080/birt/[_reportPath_]/","c_p_10.jsp","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_]","","95"
"52","45","1","r","7","3","50","11.近期應申請備查一覽表","11.近期應申請備查一覽表","","report_page","","http://[_hostIP_]:8080/birt/[_reportPath_]/","c_p_11.jsp","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_]","","68"
"53","45","1","r","8","3","50","12.外籍勞工入境一覽表","12.外籍勞工入境一覽表","","report_page","","http://[_hostIP_]:8080/birt/[_reportPath_]/","c_p_12.jsp","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_]","","2456"
"54","45","1","r","9","3","50","13.外勞承接入境一覽表","13.外勞承接入境一覽表","","report_page","","http://[_hostIP_]:8080/birt/[_reportPath_]/","c_p_13.jsp","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_]","","249"
"55","45","1","r","10","3","50","14.近期應加退保一覽表","14.近期應加退保一覽表","","report_page","","http://[_hostIP_]:8080/birt/[_reportPath_]/","c_p_14.jsp","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_]","","33"
"56","45","1","r","11","3","50","15.近期應辦聘僱外國人入境一覽表","15.近期應辦聘僱外國人入境一覽表","","report_page","","http://[_hostIP_]:8080/birt/[_reportPath_]/","c_p_15.jsp","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_]","","59"
"57","27","1","x","0","2","50","R.月份推算近期作業一覽表","R.月份推算近期作業一覽表","","","","","#","","","0"
"58","57","1","r","12","3","50","01.月份推算 - 近期應體檢一覽表","01.月份推算 - 近期應體檢一覽表","","report_page","","http://[_hostIP_]:8080/birt/[_reportPath_]/","c_r_1.jsp","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_]","","1172"
"59","57","1","r","13","3","50","02.月份推算 - 近期應展延一覽表","02.月份推算 - 近期應展延一覽表","","report_page","","http://[_hostIP_]:8080/birt/[_reportPath_]/","c_r_2.jsp","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_]","","200"
"60","57","1","r","14","3","50","03.月份推算 - 近期應辦理居留證外勞一覽表","03.月份推算 - 近期應辦理居留證外勞一覽表","","report_page","","http://[_hostIP_]:8080/birt/[_reportPath_]/","c_r_3.jsp","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_]","","1880"
"61","57","1","r","15","3","50","04.月份推算 - 近期應離境外勞一覽表","04.月份推算 - 近期應離境外勞一覽表","","report_page","","http://[_hostIP_]:8080/birt/[_reportPath_]/","c_r_4.jsp","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_]","","1846"
"62","57","1","r","16","3","50","05.月份推算 - 近期應重新招募外勞一覽表","05.月份推算 - 近期應重新招募外勞一覽表","","report_page","","http://[_hostIP_]:8080/birt/[_reportPath_]/","c_r_5.jsp","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_]","","246"
"63","0","1","x","0","1","50","D.外籍勞工管理","D.外籍勞工管理","","","","","#","","","0"
"64","63","1","x","0","2","50","A.外勞基本資料","A.外勞基本資料","","","","","#","","","0"
"65","64","1","u","63","3","50","01.外勞基本資料建檔","01.外勞基本資料建檔","","","","","index.php","[_quest_]pro=d_a_1","","104095"
"66","64","1","u","67","3","50","03.國籍別設定","03.國籍別設定","","","","","index.php","[_quest_]pro=d_a_3","","507"
"67","64","1","u","71","3","50","04.工作項目設定","04.工作項目設定","","","","","index.php","[_quest_]pro=d_a_4","","63"
"68","64","1","x","0","3","50","---","04.工作項目設定 ---","","","","","","","","0"
"69","64","1","r","113","3","50","05.外勞標籤列印","05.外勞標籤列印","","report_page","","../report_foms/report/sfoms/","d_a_5.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","4282"
"70","63","1","x","0","2","50","---","A.外勞基本資料 ---","","","","","","","","0"
"71","63","1","x","0","2","50","B.外勞任用作業","B.外勞任用作業","","","","","#","","","0"
"72","71","1","u","75","3","50","1.外勞任用資料登錄","1.外勞任用資料登錄","","","","","index.php","[_quest_]pro=d_b_1","","12840"
"73","71","1","x","0","3","50","---","1.外勞任用資料登錄 ---","","","","","","","","0"
"74","71","1","r","17","3","50","2.雇主別外勞任用明細表","2.雇主別外勞任用明細表","","report_page","","http://[_hostIP_]:8080/birt/[_reportPath_]/","d_b_2.jsp","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_]","","32964"
"75","63","1","x","0","2","50","C.外勞體檢作業","C.外勞體檢作業","","","","","#","","","0"
"76","75","1","u","79","3","50","1.外勞體檢登錄","1.外勞體檢登錄","","","","","index.php","[_quest_]pro=d_c_1","","14875"
"77","75","1","u","83","3","50","2.體檢醫院設定","2.體檢醫院設定","","","","","index.php","[_quest_]pro=d_c_2","","116"
"78","63","1","x","0","2","50","D.外勞居留作業","D.外勞居留作業","","","","","#","","","0"
"79","78","1","u","87","3","50","1.外勞居留地址設定","1.外勞居留地址設定","","","","","index.php","[_quest_]pro=d_d_1","","13985"
"80","78","1","u","89","3","50","4.外勞分批辦理居留證設定","4.外勞分批辦理居留證設定","","","","","index.php","[_quest_]pro=d_d_4","","8992"
"81","63","1","x","0","2","50","E.外勞展延作業","E.外勞展延作業","","","","","#","","","0"
"82","81","1","u","93","3","50","1.外勞展延聘雇登錄","1.外勞展延聘雇登錄","","","","","index.php","[_quest_]pro=d_e_1","","1355"
"83","63","1","x","0","2","50","F.外勞脫逃作業","F.外勞脫逃作業","","","","","#","","","0"
"84","83","1","u","97","3","50","1.外勞脫逃登錄","1.外勞脫逃登錄","","","","","index.php","[_quest_]pro=d_f_1","","2205"
"85","63","1","x","0","2","50","G.外勞期滿離境/解約作業","G.外勞期滿離境/解約作業","","","","","#","","","0"
"86","85","1","u","101","3","50","1.解約原因登錄","1.解約原因登錄","","","","","index.php","[_quest_]pro=d_g_1","","634"
"87","85","1","u","105","3","50","2.外勞解約登錄","2.外勞解約登錄","","","","","index.php","[_quest_]pro=d_g_2","","6319"
"88","85","1","u","109","3","50","3.外勞任用到期離境登錄","3.外勞任用到期離境登錄","","","","","index.php","[_quest_]pro=d_g_3","","3785"
"89","63","1","x","0","2","50","H.外勞遞補作業","H.外勞遞補作業","","","","","#","","","0"
"90","89","1","u","190","3","50","1.遞補函管控作業","1.遞補函管控作業","","","","","index.php","[_quest_]pro=d_h_1","","5608"
"91","89","1","u","113","3","50","4.外勞遞補登錄","4.外勞遞補登錄","","","","","index.php","[_quest_]pro=d_h_4","","2597"
"92","63","1","x","0","2","50","I.外勞綜合所得稅申報","I.外勞綜合所得稅申報","","","","","#","","","0"
"93","92","1","u","301","3","50","2.綜合所得稅申報資料登錄","2.綜合所得稅申報資料登錄","","","","","index.php","[_quest_]pro=d_i_2","","4894"
"94","63","1","x","0","2","50","J.備查函作業","J.備查函作業","","","","","#","","","0"
"95","94","1","u","123","3","50","1.備查函資料登錄作業","1.備查函資料登錄作業","","","","","index.php","[_quest_]pro=d_j_1","","5658"
"96","63","1","x","0","2","50","K.VISA作業","K.VISA作業","","","","","#","","","0"
"97","96","1","u","158","3","50","1.VISA資料登錄作業","1.VISA資料登錄作業","","","","","index.php","[_quest_]pro=d_k_1","","23268"
"98","63","1","x","0","2","50","L.外勞變更工作地址","L.外勞變更工作地址","","","","","#","","","0"
"99","98","1","u","194","3","50","1.外勞變更工作地址_變更明細登錄","1.外勞變更工作地址_變更明細登錄","","","","","index.php","[_quest_]pro=d_l_1","","102"
"100","63","1","x","0","2","50","M.外勞重出入境作業","M.外勞重出入境作業","","","","","#","","","0"
"101","100","1","u","169","3","50","1.外勞重出入境登錄作業","1.外勞重出入境登錄作業","","","","","index.php","[_quest_]pro=d_m_1","","2950"
"102","0","1","x","0","1","50","E.辦理文件表格","E.辦理文件表格","","","","","#","","","1"
"103","102","1","x","0","2","50","A.勞委會聘雇國內外勞工名冊","A.勞委會聘雇國內外勞工名冊","","","","","#","","","3"
"104","103","31","r","157","3","50","01.勞委會-本國受看護人名冊","01.勞委會-本國受看護人名冊","20170331需求","report_page","","../report_foms/reports/www/","e_a_1/e_a_1.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","213"
"105","103","1","r","158","3","50","02.勞委會-目前機構實際收容人名冊","02.勞委會-目前機構實際收容人名冊","","report_page","","../report_foms/reports/www/","e_a_2/e_a_2.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","28"
"106","103","1","r","316","3","50","11.聘僱國內勞工名冊(新)","11.聘僱國內勞工名冊(新)","","report_page","","../report_foms/reports/www/","e_a_11/e_a_11.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","104"
"107","103","1","r","18","3","50","14.聘僱、展延聘僱、健檢核備統一名冊","14.聘僱、展延聘僱、健檢核備統一名冊","","report_page","","http://[_hostIP_]:8080/birt/[_reportPath_]/","e_a_14.jsp","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_]","","1486"
"108","103","1","r","19","3","50","15.聘僱、展延聘僱、健檢核備統一名冊 (簽約編號)","15.聘僱、展延聘僱、健檢核備統一名冊 (簽約編號)","","report_page","","http://[_hostIP_]:8080/birt/[_reportPath_]/","e_a_15.jsp","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_]","","10716"
"109","102","1","x","0","2","50","A_1.內部表單","A_1.內部表單","","","","","#","","","0"
"120","109","1","x","0","3","50","A.接單作業","A.接單作業","","","","","#","","","0"
"121","120","31","r","251","4","50","01_1.申辦簡介_看護工幫傭封面","01_1.申辦簡介_看護工幫傭封面","20170331需求","report_page","","../report_foms/reports/www/","a_a_01/a_a_01_t01.pdf","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","20"
"122","120","1","r","251","4","50","01_2.申辦簡介_機構看護工封面","01_2.申辦簡介_機構看護工封面","","report_page","","../report_foms/reports/www/","a_a_01/a_a_01_t02.pdf","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","13"
"123","120","31","r","251","4","50","01_3.申辦簡介_看護工幫傭申辦簡介-利豐","01_3.申辦簡介_看護工幫傭申辦簡介-利豐","20170331需求","report_page","","../report_foms/reports/www/","a_a_01/a_a_01_d1-1.pdf","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","36"
"124","120","31","r","251","4","50","01_4.申辦簡介_看護工幫傭申辦簡介-萬通","01_4.申辦簡介_看護工幫傭申辦簡介-萬通","20170331需求","report_page","","../report_foms/reports/www/","a_a_01/a_a_01_d1-2.pdf","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","30"
"125","120","1","r","251","4","50","01_5.申辦簡介_養護機構工申辦簡介-利豐","01_5.申辦簡介_養護機構工申辦簡介-利豐","","report_page","","../report_foms/reports/www/","a_a_01/a_a_01_d2-1.pdf","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","19"
"126","120","1","r","251","4","50","01_6.申辦簡介_養護機構工申辦簡介-萬通","01_6.申辦簡介_養護機構工申辦簡介-萬通","","report_page","","../report_foms/reports/www/","a_a_01/a_a_01_d2-2.pdf","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","19"
"127","120","31","r","293","4","50","02-1.招募外籍看護工委任契約書(家庭/機構類)","02-1.招募外籍看護工委任契約書(家庭/機構類)","20170331需求","report_page","","../report_foms/reports/www/","a_a_02_1/a_a_02_1.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","30"
"128","109","1","x","0","3","50","B.解約作業","B.解約作業","","","","","#","","","0"
"129","128","1","r","317","4","50","01.雇主終止委任契約書","01.雇主終止委任契約書","","report_page","","../report_foms/reports/www/","a_b_01/a_b_01.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","57"
"130","128","1","r","252","4","50","02.外籍勞工終止委託服務契約書(印/泰/菲/越)","02.外籍勞工終止委託服務契約書(印/泰/菲/越)","","report_page","","../report_foms/reports/www/","a_b_02/a_b_02.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","64"
"131","128","1","r","253","4","50","03.終止勞動契約同意書(印/泰/菲/越)","03.終止勞動契約同意書(印/泰/菲/越)","","report_page","","../report_foms/reports/www/","a_b_03/a_b_03.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","30"
"132","109","1","x","0","3","50","C.出入境作業","C.出入境作業","","","","","#","","","0"
"133","132","1","r","294","4","50","02-1.外勞返國放棄聘僱契約切結書(中印/泰/菲/越)","02-1.外勞返國放棄聘僱契約切結書(中印/泰/菲/越)","","report_page","","../report_foms/reports/www/","a_c_02_1/a_c_02_1.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","12"
"134","109","1","x","0","3","50","D.異常處理","D.異常處理","","","","","#","","","0"
"135","134","1","r","254","4","50","01.異常處理單","01.異常處理單","","report_page","","../report_foms/reports/www/","a_d_01/a_d_01.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","24"
"136","134","1","r","318","4","50","02.雇主申訴處理記錄表","02.雇主申訴處理記錄表","","report_page","","../report_foms/reports/www/","a_d_02/a_d_02.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","7"
"137","134","1","r","319","4","50","03.外勞申訴處理記錄表","03.外勞申訴處理記錄表","","report_page","","../report_foms/reports/www/","a_d_03/a_d_03.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","6"
"138","134","1","r","295","4","50","04.雇主自辦投保切結書(家庭/機構類適用)","04.雇主自辦投保切結書(家庭/機構類適用)","","report_page","","../report_foms/reports/www/","a_d_04/a_d_04.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","14"
"139","102","1","x","0","2","50","B.勞委會離境、解約、脫逃相關文件","B.勞委會離境、解約、脫逃相關文件","","","","","#","","","0"
"140","139","1","r","20","3","50","01.離境報備函(出境後30天內主動通報)","01.離境報備函(出境後30天內主動通報)","","report_page","","http://[_hostIP_]:8080/birt/[_reportPath_]/","e_b_1.jsp","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_]","","126"
"141","139","1","r","21","3","50","15.外勞逃跑陳報函","15.外勞逃跑陳報函","","report_page","","http://[_hostIP_]:8080/birt/[_reportPath_]/","e_b_15.jsp","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_]","","787"
"142","139","1","r","159","3","50","16.外勞逃跑報備函","16.外勞逃跑報備函","","report_page","","../report_foms/reports/www/","e_b_16/e_b_16.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","137"
"143","139","1","r","351","3","50","17.外勞逃逸報備函","17.外勞逃逸報備函","","report_page","","../report_foms/reports/www/","e_b_17/e_b_17.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","157"
